elapsed_seconds,heart_rate
0.0,64
1.0,63
2.0,62
3.0,62
4.0,62
5.0,61
6.0,60
7.0,59
8.0,59
9.0,59
10.0,59
11.0,58
12.0,58
13.0,58
14.0,58
15.0,58
16.0,58
17.0,59
18.0,59
19.0,59
20.0,59
21.0,60
22.0,60
23.0,61
24.0,60
25.0,60
26.0,59
27.0,59
28.0,58
29.0,58
30.0,58
31.0,58
32.0,57
33.0,57
34.0,56
35.0,56
36.0,56
37.0,56
38.0,55
39.0,55
40.0,54
41.0,54
42.0,54
43.0,55
44.0,55
45.0,55
46.0,55
47.0,55
48.0,55
49.0,55
50.0,57
51.0,57
52.0,58
53.0,58
54.0,58
55.0,59
56.0,61
57.0,63
58.0,64
59.0,65
60.0,66
61.0,66
62.0,67
63.0,67
64.0,67
65.0,68
66.0,68
67.0,68
68.0,69
69.0,69
70.0,69
71.0,69
72.0,69
73.0,69
74.0,69
75.0,69
76.0,69
77.0,68
78.0,68
79.0,68
80.0,68
81.0,68
82.0,68
83.0,69
84.0,70
85.0,70
86.0,71
87.0,71
88.0,71
89.0,71
90.0,71
91.0,72
92.0,73
93.0,73
94.0,74
95.0,75
96.0,75
97.0,74
98.0,73
99.0,72
100.0,72
101.0,72
102.0,72
103.0,72
104.0,70
105.0,70
106.0,69
107.0,67
108.0,66
109.0,65
110.0,63
111.0,61
112.0,60
113.0,59
114.0,58
115.0,56
116.0,55
117.0,55
118.0,55
119.0,55
120.0,55
121.0,55
122.0,56
123.0,58
124.0,60
125.0,62
126.0,64
127.0,69
128.0,71
129.0,72
130.0,74
131.0,74
132.0,74
133.0,74
134.0,74
135.0,74
136.0,74
137.0,74
138.0,74
139.0,74
140.0,74
141.0,74
142.0,74
143.0,74
144.0,74
145.0,73
146.0,72
147.0,71
148.0,70
149.0,69
150.0,66
151.0,64
152.0,62
153.0,60
154.0,58
155.0,56
156.0,55
157.0,55
158.0,54
159.0,54
160.0,54
161.0,54
162.0,53
163.0,53
164.0,53
165.0,53
166.0,54
167.0,56
168.0,58
169.0,59
170.0,64
171.0,66
172.0,68
173.0,71
174.0,71
175.0,72
176.0,72
177.0,72
178.0,72
179.0,71
180.0,69
181.0,67
182.0,65
183.0,64
184.0,63
185.0,60
186.0,58
187.0,56
188.0,55
189.0,54
190.0,53
191.0,53
192.0,53
193.0,52
194.0,52
195.0,53
196.0,52
197.0,52
198.0,52
199.0,53
200.0,54
201.0,54
202.0,54
203.0,55
204.0,55
205.0,55
206.0,55
207.0,55
208.0,55
209.0,55
210.0,55
211.0,55
212.0,56
213.0,55
214.0,55
215.0,55
216.0,55
217.0,55
218.0,55
219.0,55
220.0,55
221.0,55
222.0,56
223.0,56
224.0,56
225.0,56
226.0,56
227.0,57
228.0,57
229.0,57
230.0,57
231.0,58
232.0,58
233.0,58
234.0,58
235.0,58
236.0,58
237.0,58
238.0,59
239.0,59
240.0,59
241.0,59
242.0,59
243.0,59
244.0,60
245.0,61
246.0,63
247.0,64
248.0,65
249.0,68
250.0,69
251.0,70
252.0,71
253.0,71
254.0,71
255.0,71
256.0,71
257.0,71
258.0,71
259.0,71
260.0,71
261.0,71
262.0,71
263.0,71
264.0,71
265.0,71
266.0,71
267.0,70
268.0,69
269.0,67
270.0,66
271.0,65
272.0,63
273.0,62
274.0,60
275.0,57
276.0,55
277.0,54
278.0,54
279.0,53
280.0,54
281.0,56
282.0,58
283.0,59
284.0,64
285.0,66
286.0,67
287.0,68
288.0,68
289.0,69
290.0,69
291.0,69
292.0,69
293.0,68
294.0,66
295.0,65
296.0,64
297.0,61
298.0,59
299.0,57
300.0,55
301.0,55
302.0,53
303.0,51
304.0,50
305.0,49
306.0,49
307.0,48
308.0,48
309.0,48
310.0,48
311.0,48
312.0,48
313.0,48
314.0,48
315.0,49
316.0,49
317.0,49
318.0,50
319.0,50
320.0,50
321.0,51
322.0,53
323.0,54
324.0,56
325.0,56
326.0,57
327.0,58
328.0,58
329.0,58
330.0,58
331.0,58
332.0,58
333.0,58
334.0,58
335.0,58
336.0,58
337.0,58
338.0,58
339.0,58
340.0,58
341.0,58
342.0,58
343.0,58
344.0,59
345.0,60
346.0,60
347.0,61
348.0,61
349.0,61
350.0,61
351.0,61
352.0,60
353.0,60
354.0,60
355.0,59
356.0,59
357.0,59
358.0,58
359.0,57
360.0,57
361.0,55
362.0,54
363.0,53
364.0,52
365.0,52
366.0,52
367.0,51
368.0,50
369.0,50
370.0,50
371.0,49
372.0,48
373.0,48
374.0,48
375.0,48
376.0,48
377.0,48
378.0,50
379.0,50
380.0,50
381.0,51
382.0,52
383.0,52
384.0,54
385.0,55
386.0,55
387.0,55
388.0,55
389.0,55
390.0,55
391.0,55
392.0,54
393.0,54
394.0,54
395.0,54
396.0,53
397.0,52
398.0,51
399.0,50
400.0,49
401.0,49
402.0,49
403.0,49
404.0,49
405.0,49
406.0,49
407.0,48
408.0,48
409.0,49
410.0,49
411.0,49
412.0,49
413.0,49
414.0,50
415.0,50
416.0,50
417.0,50
418.0,50
419.0,51
420.0,51
421.0,51
422.0,51
423.0,52
424.0,52
425.0,52
426.0,53
427.0,53
428.0,53
429.0,53
430.0,53
431.0,53
432.0,53
433.0,53
434.0,53
435.0,53
436.0,53
437.0,53
438.0,53
439.0,53
440.0,53
441.0,53
442.0,53
443.0,53
444.0,53
445.0,53
446.0,53
447.0,53
448.0,53
449.0,53
450.0,53
451.0,52
452.0,52
453.0,52
454.0,52
455.0,52
456.0,51
457.0,52
458.0,51
459.0,51
460.0,51
461.0,51
462.0,51
463.0,51
464.0,51
465.0,51
466.0,51
467.0,51
468.0,51
469.0,51
470.0,51
471.0,51
472.0,51
473.0,50
474.0,50
475.0,50
476.0,50
477.0,50
478.0,51
479.0,53
480.0,54
481.0,56
482.0,56
483.0,58
484.0,58
485.0,62
486.0,65
487.0,66
488.0,69
489.0,69
490.0,69
491.0,70
492.0,70
493.0,70
494.0,70
495.0,69
496.0,68
497.0,68
498.0,67
499.0,64
500.0,62
501.0,60
502.0,60
503.0,58
504.0,55
505.0,53
506.0,52
507.0,52
508.0,51
509.0,49
510.0,49
511.0,48
512.0,48
513.0,48
514.0,48
515.0,48
516.0,48
517.0,48
518.0,48
519.0,49
520.0,49
521.0,52
522.0,52
523.0,54
524.0,54
525.0,57
526.0,61
527.0,61
528.0,62
529.0,62
530.0,62
531.0,62
532.0,62
533.0,60
534.0,59
535.0,59
536.0,58
537.0,57
538.0,56
539.0,55
540.0,55
541.0,53
542.0,51
543.0,49
544.0,49
545.0,48
546.0,48
547.0,48
548.0,47
549.0,47
550.0,47
551.0,48
552.0,48
553.0,48
554.0,48
555.0,48
556.0,48
557.0,48
558.0,48
559.0,49
560.0,49
561.0,50
562.0,50
563.0,50
564.0,50
565.0,50
566.0,50
567.0,51
568.0,51
569.0,51
570.0,52
571.0,52
572.0,53
573.0,54
574.0,54
575.0,54
576.0,54
577.0,54
578.0,53
579.0,53
580.0,53
581.0,53
582.0,53
583.0,53
584.0,52
585.0,52
586.0,51
587.0,50
588.0,49
589.0,48
590.0,48
591.0,47
592.0,46
593.0,46
594.0,46
595.0,46
596.0,46
597.0,46
598.0,46
599.0,46
600.0,46
601.0,46
602.0,46
603.0,46
604.0,46
605.0,46
606.0,46
607.0,46
608.0,46
609.0,46
610.0,47
611.0,47
612.0,47
613.0,47
614.0,47
615.0,48
616.0,48
617.0,48
618.0,48
619.0,48
620.0,48
621.0,48
622.0,48
623.0,48
624.0,48
625.0,48
626.0,48
627.0,49
628.0,49
629.0,49
630.0,49
631.0,49
632.0,49
633.0,49
634.0,49
635.0,50
636.0,50
637.0,51
638.0,51
639.0,53
640.0,53
641.0,56
642.0,59
643.0,59
644.0,61
645.0,61
646.0,61
647.0,61
648.0,61
649.0,61
650.0,61
651.0,60
652.0,59
653.0,57
654.0,57
655.0,55
656.0,53
657.0,51
658.0,49
659.0,49
660.0,48
661.0,47
662.0,47
663.0,47
664.0,47
665.0,48
666.0,48
667.0,47
668.0,48
669.0,48
670.0,48
671.0,48
672.0,48
673.0,48
674.0,48
675.0,49
676.0,49
677.0,49
678.0,49
679.0,49
680.0,48
681.0,48
682.0,48
683.0,48
684.0,48
685.0,48
686.0,48
687.0,48
688.0,48
689.0,48
690.0,48
691.0,48
692.0,48
693.0,48
694.0,48
695.0,48
696.0,48
697.0,48
698.0,48
699.0,48
700.0,48
701.0,49
702.0,49
703.0,49
704.0,49
705.0,49
706.0,49
707.0,49
708.0,49
709.0,49
710.0,49
711.0,49
712.0,49
713.0,49
714.0,49
715.0,49
716.0,49
717.0,49
718.0,50
719.0,50
720.0,50
721.0,50
722.0,50
723.0,51
724.0,51
725.0,51
726.0,51
727.0,52
728.0,52
729.0,52
730.0,52
731.0,52
732.0,52
733.0,52
734.0,52
735.0,53
736.0,53
737.0,53
738.0,53
739.0,52
740.0,52
741.0,52
742.0,52
743.0,52
744.0,52
745.0,52
746.0,51
747.0,51
748.0,51
749.0,51
750.0,51
751.0,51
752.0,50
753.0,50
754.0,50
755.0,50
756.0,50
757.0,50
758.0,50
759.0,50
760.0,50
761.0,50
762.0,50
763.0,50
764.0,51
765.0,51
766.0,51
767.0,51
768.0,52
769.0,52
770.0,52
771.0,52
772.0,52
773.0,52
774.0,52
775.0,52
776.0,52
777.0,52
778.0,52
779.0,52
780.0,52
781.0,52
782.0,52
783.0,52
784.0,52
785.0,52
786.0,52
787.0,52
788.0,52
789.0,52
790.0,52
791.0,52
792.0,52
793.0,51
794.0,51
795.0,51
796.0,51
797.0,51
798.0,51
799.0,50
800.0,50
801.0,50
802.0,50
803.0,50
804.0,50
805.0,50
806.0,50
807.0,50
808.0,50
809.0,50
810.0,50
811.0,50
812.0,51
813.0,51
814.0,51
815.0,51
816.0,51
817.0,51
818.0,51
819.0,51
820.0,51
821.0,51
822.0,52
823.0,52
824.0,52
825.0,52
826.0,52
827.0,53
828.0,53
829.0,53
830.0,53
831.0,53
832.0,53
833.0,53
834.0,53
835.0,53
836.0,53
837.0,53
838.0,53
839.0,53
840.0,53
841.0,53
842.0,53
843.0,53
844.0,52
845.0,52
846.0,52
847.0,52
848.0,52
849.0,52
850.0,52
851.0,51
852.0,50
853.0,50
854.0,49
855.0,49
856.0,49
857.0,48
858.0,48
859.0,48
860.0,48
861.0,48
862.0,48
863.0,48
864.0,49
865.0,49
866.0,49
867.0,50
868.0,50
869.0,51
870.0,51
871.0,51
872.0,51
873.0,52
874.0,52
875.0,52
876.0,52
877.0,52
878.0,52
879.0,52
880.0,52
881.0,53
882.0,52
883.0,52
884.0,52
885.0,52
886.0,51
887.0,52
888.0,52
889.0,52
890.0,52
891.0,53
892.0,53
893.0,53
894.0,53
895.0,53
896.0,53
897.0,52
898.0,52
899.0,52
900.0,52
901.0,51
902.0,51
903.0,51
904.0,51
905.0,51
906.0,51
907.0,51
908.0,50
909.0,50
910.0,49
911.0,49
912.0,49
913.0,49
914.0,49
915.0,49
916.0,49
917.0,49
918.0,49
919.0,49
920.0,49
921.0,49
922.0,49
923.0,49
924.0,49
925.0,49
926.0,49
927.0,49
928.0,49
929.0,49
930.0,49
931.0,48
932.0,48
933.0,48
934.0,48
935.0,48
936.0,48
937.0,48
938.0,48
939.0,48
940.0,48
941.0,49
942.0,49
943.0,50
944.0,51
945.0,52
946.0,53
947.0,53
948.0,54
949.0,54
950.0,54
951.0,55
952.0,55
953.0,55
954.0,55
955.0,55
956.0,55
957.0,55
958.0,55
959.0,55
960.0,55
961.0,54
962.0,53
963.0,52
964.0,52
965.0,52
966.0,52
967.0,51
968.0,52
